Age,Level of Education,Stream (if 12th pass),Degree (if graduate/diploma),Stream of Degree,Location of Applicant,Company Name (PMIS Partner),Position/Role Offered
24,12th Pass,Arts,,,"Jaipur, Rajasthan",Reliance Industries Limited,Safety & EHS Intern
21,12th Pass,Arts,,,"Thiruvananthapuram, Kerala",Mercedes-Benz India,Embedded Systems Intern
21,12th Pass,Arts,,,"Patna, Bihar",Mercedes-Benz India,Manufacturing Intern
23,Diploma,Science,ITI,Electrical Engineering,"Lucknow, Uttar Pradesh",HDFC Bank,Marketing Intern
22,Diploma,Science,Diploma,Civil Engineering,"Indore, Madhya Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
21,Diploma,Science,ITI,Civil Engineering,"Gurugram, Haryana",Max Life Insurance,Data Analytics Intern
24,Graduate,Science,B.Tech,Human Resources,"Bengaluru, Karnataka",Mercedes-Benz India,Embedded Systems Intern
23,12th Pass,Arts,,,"Jaipur, Rajasthan",Tata Consultancy Services (TCS),Data Science Intern
21,Graduate,Science,Diploma,Marketing,"Indore, Madhya Pradesh",HDFC Bank,Marketing Intern
24,Graduate,Arts,BA,Mathematics,"Mumbai, Maharashtra",Alembic Pharmaceuticals,Quality Assurance Intern
22,12th Pass,Commerce,,,"Indore, Madhya Pradesh",Tata Consultancy Services (TCS),QA/Testing Intern
24,Graduate,Science,B.Tech,Computer Science,"Surat, Gujarat",Mercedes-Benz India,Mechanical Engineering Intern
22,Diploma,Science,Diploma,Computer Science,"Pune, Maharashtra",Mercedes-Benz India,Embedded Systems Intern
22,Graduate,Commerce,BBA,Human Resources,"Chennai, Tamil Nadu",HDFC Bank,Risk Analytics Intern
21,Graduate,Science,Diploma,Human Resources,"Patna, Bihar",Mercedes-Benz India,UX Research Intern
24,Diploma,Science,ITI,Mechanical Engineering,"Delhi, Delhi",Mahindra & Mahindra,Production Planning Intern
22,Graduate,Science,Diploma,Electrical Engineering,"Patna, Bihar",Max Life Insurance,Sales & Distribution Intern
22,12th Pass,Commerce,,,"Lucknow, Uttar Pradesh",Mahindra & Mahindra,Supply Chain Intern
24,Graduate,Arts,BA,Physics,"Nagpur, Maharashtra",HDFC Bank,Finance Operations Intern
22,Diploma,Science,Diploma,Mechanical Engineering,"Gurugram, Haryana",Reliance Industries Limited,Operations Intern
21,Graduate,Science,Diploma,Electrical Engineering,"Vadodara, Gujarat",Max Life Insurance,Sales & Distribution Intern
23,Diploma,Science,ITI,Mechanical Engineering,"Noida, Uttar Pradesh",Reliance Industries Limited,Data Analyst Intern
24,12th Pass,Commerce,,,"Dehradun, Uttarakhand",HDFC Bank,Risk Analytics Intern
22,Diploma,Science,Diploma,Computer Science,"Chandigarh, Chandigarh",Mahindra & Mahindra,Automotive Engineering Intern
22,12th Pass,Vocational,,,"Nagpur, Maharashtra",Alembic Pharmaceuticals,R&D Intern
22,12th Pass,Arts,,,"Delhi, Delhi",Alembic Pharmaceuticals,Production Intern
24,Diploma,Science,Diploma,Electronics & Communication,"Pune, Maharashtra",Reliance Industries Limited,Data Analyst Intern
24,Diploma,Science,Diploma,Electronics & Communication,"Bhubaneswar, Odisha",Alembic Pharmaceuticals,Production Intern
21,Graduate,Science,Diploma,Marketing,"Indore, Madhya Pradesh",HDFC Bank,Marketing Intern
23,12th Pass,Science,,,"Gurugram, Haryana",Alembic Pharmaceuticals,Production Intern
24,12th Pass,Arts,,,"Dehradun, Uttarakhand",Mercedes-Benz India,UX Research Intern
22,12th Pass,Vocational,,,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),Data Science Intern
21,Graduate,Commerce,BBA,Biotechnology,"Jaipur, Rajasthan",Mercedes-Benz India,UX Research Intern
24,Graduate,Arts,BA,Human Resources,"Bhubaneswar, Odisha",Tata Consultancy Services (TCS),Data Science Intern
23,Graduate,Arts,BA,Pharmacy,"Bengaluru, Karnataka",Mercedes-Benz India,Manufacturing Intern
23,12th Pass,Commerce,,,"Bhubaneswar, Odisha",Mahindra & Mahindra,Production Planning Intern
21,Graduate,Science,Diploma,Information Technology,"Patna, Bihar",Mahindra & Mahindra,IoT/Telematics Intern
22,Diploma,Science,Diploma,Mechanical Engineering,"Vadodara, Gujarat",Max Life Insurance,Actuarial Analyst Intern
22,Graduate,,B.Sc.,Human Resources,"Patna, Bihar",Mahindra & Mahindra,Automotive Engineering Intern
22,12th Pass,Vocational,,,"Nagpur, Maharashtra",Alembic Pharmaceuticals,R&D Intern
23,Graduate,Commerce,B.Com,Pharmacy,"Coimbatore, Tamil Nadu",Tata Consultancy Services (TCS),Cloud Engineering Intern
22,Diploma,Science,Diploma,Computer Science,"Pune, Maharashtra",Mercedes-Benz India,Embedded Systems Intern
21,12th Pass,Commerce,,,"Dehradun, Uttarakhand",Max Life Insurance,Actuarial Analyst Intern
22,Diploma,Science,Diploma,Civil Engineering,"Indore, Madhya Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
24,Diploma,Science,Diploma,Mechanical Engineering,"Nagpur, Maharashtra",HDFC Bank,Customer Service Intern
23,12th Pass,Arts,,,"Delhi, Delhi",Max Life Insurance,Sales & Distribution Intern
24,Diploma,Science,Diploma,Civil Engineering,"Dehradun, Uttarakhand",Mercedes-Benz India,Embedded Systems Intern
23,Diploma,Science,ITI,Electrical Engineering,"Indore, Madhya Pradesh",Max Life Insurance,Actuarial Analyst Intern
21,12th Pass,Arts,,,"Thiruvananthapuram, Kerala",Mercedes-Benz India,Embedded Systems Intern
24,Graduate,Science,B.Pharm,Electrical Engineering,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),Software Development Intern
22,12th Pass,Science,,,"Bhubaneswar, Odisha",Tata Consultancy Services (TCS),Software Development Intern
22,12th Pass,Arts,,,"Bengaluru, Karnataka",Reliance Industries Limited,Safety & EHS Intern
22,Diploma,Science,Diploma,Civil Engineering,"Delhi, Delhi",Mercedes-Benz India,Mechanical Engineering Intern
23,12th Pass,Science,,,"Mumbai, Maharashtra",Tata Consultancy Services (TCS),Software Development Intern
22,12th Pass,Arts,,,"Bengaluru, Karnataka",Reliance Industries Limited,Safety & EHS Intern
23,Graduate,Arts,BA,Chemistry,"Surat, Gujarat",Mahindra & Mahindra,Production Planning Intern
21,12th Pass,Commerce,,,"Dehradun, Uttarakhand",Max Life Insurance,Actuarial Analyst Intern
23,12th Pass,Arts,,,"Noida, Uttar Pradesh",HDFC Bank,Finance Operations Intern
22,Graduate,,B.Sc.,Chemistry,"Mumbai, Maharashtra",HDFC Bank,Risk Analytics Intern
21,Diploma,Science,ITI,Electronics & Communication,"Ranchi, Jharkhand",Reliance Industries Limited,Supply Chain Intern
24,Graduate,Arts,BA,Physics,"Bhubaneswar, Odisha",HDFC Bank,Customer Service Intern
22,Graduate,Science,Diploma,Civil Engineering,"Surat, Gujarat",HDFC Bank,Customer Service Intern
22,Diploma,Science,Diploma,Civil Engineering,"Indore, Madhya Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
24,12th Pass,Vocational,,,"Noida, Uttar Pradesh",Mahindra & Mahindra,Automotive Engineering Intern
22,Diploma,Science,Diploma,Mechanical Engineering,"Lucknow, Uttar Pradesh",Mercedes-Benz India,Manufacturing Intern
23,Diploma,Science,ITI,Electrical Engineering,"Lucknow, Uttar Pradesh",HDFC Bank,Marketing Intern
23,12th Pass,Commerce,,,"Thiruvananthapuram, Kerala",Mahindra & Mahindra,Supply Chain Intern
21,Graduate,Science,Diploma,Finance,"Indore, Madhya Pradesh",Alembic Pharmaceuticals,Regulatory Affairs Intern
24,Diploma,Science,Diploma,Electronics & Communication,"Pune, Maharashtra",Reliance Industries Limited,Data Analyst Intern
23,Diploma,Science,ITI,Mechanical Engineering,"Mumbai, Maharashtra",Mahindra & Mahindra,Automotive Engineering Intern
24,Graduate,Science,Diploma,Electronics & Communication,"Chennai, Tamil Nadu",Mercedes-Benz India,Manufacturing Intern
23,Graduate,Commerce,BBA,Computer Science,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),QA/Testing Intern
21,12th Pass,Arts,,,"Thiruvananthapuram, Kerala",Mercedes-Benz India,Embedded Systems Intern
21,Graduate,Science,Diploma,Marketing,"Indore, Madhya Pradesh",HDFC Bank,Marketing Intern
24,12th Pass,Commerce,,,"Coimbatore, Tamil Nadu",Alembic Pharmaceuticals,Regulatory Affairs Intern
22,Graduate,Science,Diploma,Biotechnology,"Mumbai, Maharashtra",Reliance Industries Limited,Supply Chain Intern
24,Graduate,Arts,BA,Physics,"Nagpur, Maharashtra",HDFC Bank,Finance Operations Intern
21,12th Pass,Science,,,"Bengaluru, Karnataka",Reliance Industries Limited,Supply Chain Intern
21,Graduate,Science,BBA,Mechanical Engineering,"Bhubaneswar, Odisha",Alembic Pharmaceuticals,R&D Intern
23,Diploma,Science,Diploma,Civil Engineering,"Jaipur, Rajasthan",Reliance Industries Limited,Data Analyst Intern
23,Graduate,Arts,BA,Human Resources,"Surat, Gujarat",Alembic Pharmaceuticals,Production Intern
21,Diploma,Science,ITI,Civil Engineering,"Gurugram, Haryana",Max Life Insurance,Data Analytics Intern
21,Diploma,Science,ITI,Mechanical Engineering,"Kolkata, West Bengal",Tata Consultancy Services (TCS),Data Science Intern
21,Graduate,Science,Diploma,Finance,"Indore, Madhya Pradesh",Alembic Pharmaceuticals,Regulatory Affairs Intern
22,Graduate,,B.Sc.,Electronics & Communication,"Coimbatore, Tamil Nadu",Alembic Pharmaceuticals,R&D Intern
21,Graduate,Science,B.Pharm,Electronics & Communication,"Coimbatore, Tamil Nadu",Mahindra & Mahindra,IoT/Telematics Intern
21,12th Pass,Arts,,,"Noida, Uttar Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
24,Diploma,Science,ITI,Mechanical Engineering,"Kolkata, West Bengal",Reliance Industries Limited,Safety & EHS Intern
22,Graduate,Science,B.Tech,Pharmacy,"Chennai, Tamil Nadu",Max Life Insurance,Sales & Distribution Intern
23,Graduate,Science,Diploma,Civil Engineering,"Thiruvananthapuram, Kerala",HDFC Bank,Customer Service Intern
21,Diploma,Science,Diploma,Electrical Engineering,"Guwahati, Assam",Mahindra & Mahindra,Production Planning Intern
22,12th Pass,Vocational,,,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),Data Science Intern
21,Graduate,Commerce,B.Com,Marketing,"Vadodara, Gujarat",Reliance Industries Limited,Safety & EHS Intern
22,Diploma,Science,Diploma,Civil Engineering,"Noida, Uttar Pradesh",Reliance Industries Limited,Supply Chain Intern
21,Diploma,Science,ITI,Electronics & Communication,"Lucknow, Uttar Pradesh",Tata Consultancy Services (TCS),Software Development Intern
21,Diploma,Science,ITI,Civil Engineering,"Jaipur, Rajasthan",Tata Consultancy Services (TCS),Cloud Engineering Intern
21,12th Pass,Science,,,"Bengaluru, Karnataka",Reliance Industries Limited,Supply Chain Intern
24,Graduate,Science,Diploma,Information Technology,"Noida, Uttar Pradesh",Tata Consultancy Services (TCS),Data Science Intern
23,Graduate,Science,Diploma,Civil Engineering,"Thiruvananthapuram, Kerala",HDFC Bank,Customer Service Intern
22,Graduate,,B.Sc.,Biotechnology,"Patna, Bihar",HDFC Bank,Finance Operations Intern
22,12th Pass,Science,,,"Bhubaneswar, Odisha",Tata Consultancy Services (TCS),Software Development Intern
24,Graduate,Arts,BA,Physics,"Bhubaneswar, Odisha",HDFC Bank,Customer Service Intern
24,Graduate,Arts,BA,Computer Science,"Dehradun, Uttarakhand",Mahindra & Mahindra,IoT/Telematics Intern
23,Graduate,,B.Sc.,Computer Science,"Ranchi, Jharkhand",Mahindra & Mahindra,Supply Chain Intern
24,Graduate,Science,Diploma,Civil Engineering,"Chandigarh, Chandigarh",Mercedes-Benz India,UX Research Intern
21,Diploma,Science,ITI,Computer Science,"Thiruvananthapuram, Kerala",Alembic Pharmaceuticals,Production Intern
23,Graduate,,B.Sc.,Electronics & Communication,"Ahmedabad, Gujarat",Max Life Insurance,Digital Marketing Intern
23,12th Pass,Science,,,"Patna, Bihar",Reliance Industries Limited,Data Analyst Intern
24,Graduate,Science,Diploma,Finance,"Thiruvananthapuram, Kerala",HDFC Bank,Finance Operations Intern
23,12th Pass,Vocational,,,"Gurugram, Haryana",Mercedes-Benz India,Embedded Systems Intern
23,Graduate,Science,B.Tech,Electrical Engineering,"Patna, Bihar",Alembic Pharmaceuticals,Regulatory Affairs Intern
24,Diploma,Science,Diploma,Electronics & Communication,"Pune, Maharashtra",Reliance Industries Limited,Data Analyst Intern
24,Graduate,Science,B.Pharm,Electrical Engineering,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),Software Development Intern
21,Diploma,Science,ITI,Computer Science,"Chandigarh, Chandigarh",Max Life Insurance,Data Analytics Intern
22,Graduate,Science,Diploma,Biotechnology,"Mumbai, Maharashtra",Reliance Industries Limited,Supply Chain Intern
24,Graduate,Commerce,B.Com,Information Technology,"Indore, Madhya Pradesh",Mahindra & Mahindra,IoT/Telematics Intern
24,Graduate,,B.Sc.,Mathematics,"Vadodara, Gujarat",Max Life Insurance,Actuarial Analyst Intern
23,Graduate,,B.Sc.,Electronics & Communication,"Ahmedabad, Gujarat",Max Life Insurance,Digital Marketing Intern
24,Graduate,Arts,BA,Mathematics,"Mumbai, Maharashtra",Alembic Pharmaceuticals,Quality Assurance Intern
23,Graduate,Science,Diploma,Mechanical Engineering,"Kolkata, West Bengal",Reliance Industries Limited,Data Analyst Intern
24,Graduate,Arts,BA,Physics,"Nagpur, Maharashtra",HDFC Bank,Finance Operations Intern
21,Diploma,Science,ITI,Electronics & Communication,"Lucknow, Uttar Pradesh",Tata Consultancy Services (TCS),Software Development Intern
21,Graduate,Science,Diploma,Information Technology,"Patna, Bihar",Mahindra & Mahindra,IoT/Telematics Intern
23,12th Pass,Arts,,,"Delhi, Delhi",Max Life Insurance,Sales & Distribution Intern
23,Diploma,Science,ITI,Electrical Engineering,"Lucknow, Uttar Pradesh",HDFC Bank,Marketing Intern
22,Graduate,Commerce,BBA,Human Resources,"Ahmedabad, Gujarat",HDFC Bank,Customer Service Intern
21,Diploma,Science,ITI,Computer Science,"Thiruvananthapuram, Kerala",Alembic Pharmaceuticals,Production Intern
23,Graduate,Science,B.Pharm,Human Resources,"Dehradun, Uttarakhand",Max Life Insurance,Sales & Distribution Intern
21,Diploma,Science,Diploma,Electrical Engineering,"Guwahati, Assam",Mahindra & Mahindra,Production Planning Intern
21,12th Pass,Science,,,"Lucknow, Uttar Pradesh",Mahindra & Mahindra,Supply Chain Intern
21,12th Pass,Vocational,,,"Thiruvananthapuram, Kerala",Mercedes-Benz India,Manufacturing Intern
22,Graduate,Science,B.Pharm,Information Technology,"Coimbatore, Tamil Nadu",Reliance Industries Limited,Supply Chain Intern
21,Graduate,Science,Diploma,Human Resources,"Patna, Bihar",Mercedes-Benz India,UX Research Intern
24,12th Pass,Commerce,,,"Dehradun, Uttarakhand",HDFC Bank,Risk Analytics Intern
24,Diploma,Science,ITI,Electrical Engineering,"Indore, Madhya Pradesh",Max Life Insurance,Sales & Distribution Intern
24,Graduate,Science,B.Tech,Chemistry,"Ranchi, Jharkhand",Mercedes-Benz India,Manufacturing Intern
22,Graduate,Science,Diploma,Electrical Engineering,"Patna, Bihar",Max Life Insurance,Sales & Distribution Intern
23,Graduate,Science,B.Tech,Pharmacy,"Ahmedabad, Gujarat",HDFC Bank,Finance Operations Intern
22,12th Pass,Vocational,,,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),Data Science Intern
22,Diploma,Science,Diploma,Mechanical Engineering,"Gurugram, Haryana",Reliance Industries Limited,Operations Intern
23,Diploma,Science,ITI,Civil Engineering,"Dehradun, Uttarakhand",Max Life Insurance,Sales & Distribution Intern
23,Graduate,,B.Sc.,Electronics & Communication,"Ahmedabad, Gujarat",Max Life Insurance,Digital Marketing Intern
21,Graduate,Science,Diploma,Electrical Engineering,"Vadodara, Gujarat",Max Life Insurance,Sales & Distribution Intern
23,Graduate,Arts,BA,Human Resources,"Surat, Gujarat",Alembic Pharmaceuticals,Production Intern
23,Graduate,Commerce,BBA,Computer Science,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),QA/Testing Intern
21,Graduate,Commerce,BBA,Finance,"Chennai, Tamil Nadu",Tata Consultancy Services (TCS),QA/Testing Intern
24,Graduate,Commerce,B.Com,Pharmacy,"Dehradun, Uttarakhand",Tata Consultancy Services (TCS),QA/Testing Intern
21,Graduate,Arts,BA,Information Technology,"Thiruvananthapuram, Kerala",HDFC Bank,Marketing Intern
24,12th Pass,Arts,,,"Dehradun, Uttarakhand",Mercedes-Benz India,UX Research Intern
23,12th Pass,Vocational,,,"Vadodara, Gujarat",Reliance Industries Limited,Data Analyst Intern
23,12th Pass,Vocational,,,"Vadodara, Gujarat",Reliance Industries Limited,Data Analyst Intern
24,Graduate,,B.Sc.,Marketing,"Nagpur, Maharashtra",Mahindra & Mahindra,Production Planning Intern
23,Graduate,Science,B.Pharm,Mechanical Engineering,"Lucknow, Uttar Pradesh",Alembic Pharmaceuticals,Production Intern
24,Graduate,Commerce,BBA,Mathematics,"Surat, Gujarat",Tata Consultancy Services (TCS),Data Science Intern
22,12th Pass,Science,,,"Vadodara, Gujarat",Tata Consultancy Services (TCS),Data Science Intern
22,Graduate,Arts,BA,Chemistry,"Chandigarh, Chandigarh",Max Life Insurance,Digital Marketing Intern
24,12th Pass,Arts,,,"Dehradun, Uttarakhand",Mercedes-Benz India,UX Research Intern
24,12th Pass,Commerce,,,"Jaipur, Rajasthan",Reliance Industries Limited,Safety & EHS Intern
21,Diploma,Science,ITI,Mechanical Engineering,"Kolkata, West Bengal",Tata Consultancy Services (TCS),Data Science Intern
24,Graduate,Commerce,B.Com,Information Technology,"Indore, Madhya Pradesh",Mahindra & Mahindra,IoT/Telematics Intern
22,Graduate,Commerce,B.Com,Pharmacy,"Hyderabad, Telangana",Reliance Industries Limited,Supply Chain Intern
21,Graduate,Commerce,BBA,Information Technology,"Chandigarh, Chandigarh",Mercedes-Benz India,Manufacturing Intern
22,Graduate,Commerce,B.Com,Finance,"Coimbatore, Tamil Nadu",Mercedes-Benz India,Mechanical Engineering Intern
23,Graduate,Arts,BA,Information Technology,"Indore, Madhya Pradesh",Alembic Pharmaceuticals,R&D Intern
22,12th Pass,Science,,,"Bhubaneswar, Odisha",Tata Consultancy Services (TCS),Software Development Intern
24,Diploma,Science,ITI,Civil Engineering,"Nagpur, Maharashtra",Alembic Pharmaceuticals,Quality Assurance Intern
23,Diploma,Science,ITI,Electrical Engineering,"Lucknow, Uttar Pradesh",HDFC Bank,Marketing Intern
24,Graduate,Arts,BA,Physics,"Bhubaneswar, Odisha",HDFC Bank,Customer Service Intern
22,Graduate,Science,B.Pharm,Electrical Engineering,"Lucknow, Uttar Pradesh",HDFC Bank,Marketing Intern
21,12th Pass,Science,,,"Lucknow, Uttar Pradesh",Mahindra & Mahindra,Supply Chain Intern
23,Graduate,Science,B.Com,Civil Engineering,"Ahmedabad, Gujarat",HDFC Bank,Customer Service Intern
23,12th Pass,Vocational,,,"Gurugram, Haryana",Mercedes-Benz India,Embedded Systems Intern
23,Graduate,Commerce,BBA,Computer Science,"Ranchi, Jharkhand",Tata Consultancy Services (TCS),QA/Testing Intern
23,Diploma,Science,ITI,Civil Engineering,"Coimbatore, Tamil Nadu",Mahindra & Mahindra,Production Planning Intern
22,Graduate,Arts,BA,Chemistry,"Chandigarh, Chandigarh",Max Life Insurance,Digital Marketing Intern
24,Graduate,Science,B.Tech,Computer Science,"Surat, Gujarat",Mercedes-Benz India,Mechanical Engineering Intern
21,12th Pass,Commerce,,,"Noida, Uttar Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
24,Graduate,Science,B.Tech,Computer Science,"Surat, Gujarat",Mercedes-Benz India,Mechanical Engineering Intern
23,Graduate,Science,Diploma,Mechanical Engineering,"Kolkata, West Bengal",Reliance Industries Limited,Data Analyst Intern
21,Graduate,Commerce,B.Com,Electronics & Communication,"Kolkata, West Bengal",Max Life Insurance,Data Analytics Intern
23,12th Pass,Vocational,,,"Lucknow, Uttar Pradesh",Reliance Industries Limited,Supply Chain Intern
23,12th Pass,Vocational,,,"Vadodara, Gujarat",Reliance Industries Limited,Data Analyst Intern
22,Graduate,Arts,BA,Electronics & Communication,"Jaipur, Rajasthan",Tata Consultancy Services (TCS),Cloud Engineering Intern
23,12th Pass,Arts,,,"Jaipur, Rajasthan",Tata Consultancy Services (TCS),Data Science Intern
23,Graduate,Arts,BA,Chemistry,"Surat, Gujarat",Mahindra & Mahindra,Production Planning Intern
21,Graduate,Science,Diploma,Finance,"Indore, Madhya Pradesh",Alembic Pharmaceuticals,Regulatory Affairs Intern
22,Graduate,Arts,BA,Electronics & Communication,"Jaipur, Rajasthan",Tata Consultancy Services (TCS),Cloud Engineering Intern
24,Graduate,Science,B.Tech,Human Resources,"Bengaluru, Karnataka",Mercedes-Benz India,Embedded Systems Intern
23,12th Pass,Vocational,,,"Surat, Gujarat",Mahindra & Mahindra,Supply Chain Intern
22,Graduate,,B.Sc.,Chemistry,"Mumbai, Maharashtra",HDFC Bank,Risk Analytics Intern
24,12th Pass,Vocational,,,"Noida, Uttar Pradesh",Mahindra & Mahindra,Automotive Engineering Intern
23,12th Pass,Arts,,,"Noida, Uttar Pradesh",HDFC Bank,Finance Operations Intern
23,Diploma,Science,ITI,Civil Engineering,"Dehradun, Uttarakhand",Max Life Insurance,Sales & Distribution Intern
24,Diploma,Science,Diploma,Computer Science,"Kolkata, West Bengal",Tata Consultancy Services (TCS),Cloud Engineering Intern
22,Graduate,Science,Diploma,Biotechnology,"Mumbai, Maharashtra",Reliance Industries Limited,Supply Chain Intern
24,Diploma,Science,ITI,Computer Science,"Lucknow, Uttar Pradesh",Tata Consultancy Services (TCS),Cloud Engineering Intern
21,Graduate,Science,B.Pharm,Chemistry,"Gurugram, Haryana",Alembic Pharmaceuticals,Regulatory Affairs Intern
21,Diploma,Science,ITI,Civil Engineering,"Jaipur, Rajasthan",HDFC Bank,Customer Service Intern
22,Diploma,Science,Diploma,Computer Science,"Pune, Maharashtra",Mercedes-Benz India,Embedded Systems Intern
24,12th Pass,Vocational,,,"Noida, Uttar Pradesh",Mahindra & Mahindra,Automotive Engineering Intern
23,Graduate,Science,B.Pharm,Electrical Engineering,"Kolkata, West Bengal",Mercedes-Benz India,Manufacturing Intern
24,Graduate,,B.Sc.,Marketing,"Nagpur, Maharashtra",Mahindra & Mahindra,Production Planning Intern
23,Graduate,Arts,BA,Pharmacy,"Bengaluru, Karnataka",Mercedes-Benz India,Manufacturing Intern
21,Graduate,Arts,BA,Human Resources,"Ranchi, Jharkhand",Mercedes-Benz India,Mechanical Engineering Intern
23,Diploma,Science,ITI,Mechanical Engineering,"Noida, Uttar Pradesh",Reliance Industries Limited,Data Analyst Intern
21,Diploma,Science,ITI,Civil Engineering,"Jaipur, Rajasthan",HDFC Bank,Customer Service Intern
22,12th Pass,Arts,,,"Delhi, Delhi",Alembic Pharmaceuticals,Production Intern
22,12th Pass,Commerce,,,"Indore, Madhya Pradesh",Tata Consultancy Services (TCS),QA/Testing Intern
24,Graduate,Science,B.Tech,Information Technology,"Kolkata, West Bengal",Reliance Industries Limited,Data Analyst Intern
24,Graduate,Arts,BA,Human Resources,"Bhubaneswar, Odisha",Tata Consultancy Services (TCS),Data Science Intern
21,Graduate,Commerce,B.Com,Electronics & Communication,"Kolkata, West Bengal",Max Life Insurance,Data Analytics Intern
24,Graduate,Arts,BA,Mathematics,"Mumbai, Maharashtra",Alembic Pharmaceuticals,Quality Assurance Intern
22,Graduate,Science,Diploma,Electrical Engineering,"Ranchi, Jharkhand",Mercedes-Benz India,Manufacturing Intern
21,Diploma,Science,ITI,Electronics & Communication,"Lucknow, Uttar Pradesh",Tata Consultancy Services (TCS),Software Development Intern
22,Graduate,Commerce,BBA,Human Resources,"Mumbai, Maharashtra",HDFC Bank,Risk Analytics Intern
22,Graduate,Science,B.Pharm,Information Technology,"Coimbatore, Tamil Nadu",Reliance Industries Limited,Supply Chain Intern
22,Graduate,Commerce,B.Com,Finance,"Coimbatore, Tamil Nadu",Mercedes-Benz India,Mechanical Engineering Intern
23,12th Pass,Science,,,"Gurugram, Haryana",Alembic Pharmaceuticals,Production Intern
23,Graduate,Arts,BA,Information Technology,"Indore, Madhya Pradesh",Alembic Pharmaceuticals,R&D Intern
21,12th Pass,Arts,,,"Patna, Bihar",Mercedes-Benz India,Manufacturing Intern
24,Diploma,Science,Diploma,Computer Science,"Pune, Maharashtra",HDFC Bank,Customer Service Intern
22,Diploma,Science,ITI,Computer Science,"Gurugram, Haryana",Alembic Pharmaceuticals,Quality Assurance Intern
24,Diploma,Science,ITI,Electrical Engineering,"Indore, Madhya Pradesh",Max Life Insurance,Sales & Distribution Intern
22,12th Pass,Commerce,,,"Indore, Madhya Pradesh",Tata Consultancy Services (TCS),QA/Testing Intern
21,Graduate,Commerce,BBA,Finance,"Chennai, Tamil Nadu",Tata Consultancy Services (TCS),QA/Testing Intern
23,Diploma,Science,Diploma,Civil Engineering,"Kolkata, West Bengal",Max Life Insurance,Actuarial Analyst Intern
23,12th Pass,Science,,,"Pune, Maharashtra",Mahindra & Mahindra,Supply Chain Intern
21,12th Pass,Vocational,,,"Jaipur, Rajasthan",HDFC Bank,Customer Service Intern
21,Diploma,Science,Diploma,Electrical Engineering,"Nagpur, Maharashtra",Mahindra & Mahindra,IoT/Telematics Intern
24,Graduate,Science,B.Tech,Chemistry,"Ranchi, Jharkhand",Mercedes-Benz India,Manufacturing Intern
22,Graduate,Science,B.Pharm,Mechanical Engineering,"Guwahati, Assam",Max Life Insurance,Digital Marketing Intern
21,Graduate,Science,BBA,Mechanical Engineering,"Nagpur, Maharashtra",Max Life Insurance,Sales & Distribution Intern
21,Graduate,Science,B.Pharm,Electronics & Communication,"Coimbatore, Tamil Nadu",Mahindra & Mahindra,IoT/Telematics Intern
24,Graduate,Science,Diploma,Civil Engineering,"Coimbatore, Tamil Nadu",Alembic Pharmaceuticals,Regulatory Affairs Intern
21,Graduate,Science,B.Tech,Electrical Engineering,"Patna, Bihar",Max Life Insurance,Digital Marketing Intern
24,Graduate,Science,B.Tech,Information Technology,"Kolkata, West Bengal",Reliance Industries Limited,Data Analyst Intern
24,Diploma,Science,Diploma,Computer Science,"Pune, Maharashtra",HDFC Bank,Customer Service Intern
24,Graduate,Science,B.Tech,Human Resources,"Bhubaneswar, Odisha",Mercedes-Benz India,UX Research Intern
24,Graduate,Science,B.Tech,Information Technology,"Kolkata, West Bengal",Reliance Industries Limited,Data Analyst Intern
24,Diploma,Science,Diploma,Mechanical Engineering,"Nagpur, Maharashtra",HDFC Bank,Customer Service Intern
21,Diploma,Science,ITI,Civil Engineering,"Gurugram, Haryana",Max Life Insurance,Data Analytics Intern
21,Graduate,Commerce,B.Com,Electronics & Communication,"Kolkata, West Bengal",Max Life Insurance,Data Analytics Intern
21,Graduate,Arts,BA,Human Resources,"Ranchi, Jharkhand",Mercedes-Benz India,Mechanical Engineering Intern
21,Diploma,Science,ITI,Mechanical Engineering,"Kolkata, West Bengal",Tata Consultancy Services (TCS),Data Science Intern
21,12th Pass,Vocational,,,"Pune, Maharashtra",Alembic Pharmaceuticals,Quality Assurance Intern
21,Diploma,Science,ITI,Mechanical Engineering,"Kolkata, West Bengal",Tata Consultancy Services (TCS),Data Science Intern
21,12th Pass,Science,,,"Lucknow, Uttar Pradesh",Mahindra & Mahindra,Supply Chain Intern
24,12th Pass,Commerce,,,"Coimbatore, Tamil Nadu",Alembic Pharmaceuticals,Regulatory Affairs Intern
24,Diploma,Science,ITI,Electrical Engineering,"Indore, Madhya Pradesh",Max Life Insurance,Sales & Distribution Intern
